time,x,y,z,p1
3.3000000000000003,129.58536782252034,8248.9822179737,2.4772933421620373,0.01929114836915596
3.4000000000000004,-266.9914521640904,8495.80576310872,2.5452070787518566,0.01937166322257262
3.5,-686.5170876186427,8723.026670164869,2.612492823579744,0.019447398407953533
3.6,-1127.9991020787372,8929.0323118303,2.679133974894983,0.019518335238774946
3.7,-1590.3441775845367,9112.261266931659,2.745114089990659,0.019584456212435316
3.8000000000000003,-2072.3607932671543,9271.209238418101,2.8104168892606527,0.019645745014573772
3.9000000000000004,-2572.7622371623856,9404.434829963531,2.875026260216393,0.01970218652309548
4.0,-3090.1699437494735,9510.565162951536,2.938926261462366,0.019753766811902756
4.1000000000000005,-3623.1171487373863,9588.30131600614,3.0021011266294204,0.01980047315433115
4.2,-4170.0528516651975,9636.423569681803,3.0645352682648825,0.019842294026289557
4.3,-4729.346075951088,9653.796439426618,3.1262132816785253,0.019879219109103594
4.4,-5299.29041511887,9639.3734804825,3.1871199487434487,0.0199112392920616
4.5,-5878.108853054424,9592.20184898354,3.2472402416509185,0.01993834667466256
4.6000000000000005,-6463.958845299504,9511.426604157461,3.3065593266182596,0.019960534568565433
4.7,-7054.93764757914,9396.294737223312,3.3650625675488666,0.019977797499239402
4.800000000000001,-7649.087876984282,9246.158913309468,3.4227355296434436,0.019990131207314632
4.9,-8244.403290494725,9060.480913487969,3.4795639829615714,0.019997532649633214
5.0,-8838.834764831843,8838.834764831845,3.5355339059327378,0.02
5.1000000000000005,-9430.296460977273,8580.90954724961,3.5906314888159447,0.019997532649633214
5.2,-10016.672156085258,8286.511866732968,3.644843137107058,0.019990131207314632
5.300000000000001,-10595.821724953948,7955.567985567964,3.6981554748930483,0.019977797499239402
5.4,-11165.587752706586,7588.125601003761,3.7505553481522975,0.019960534568565433
5.5,-11723.80225986877,7184.355264844298,3.802029828000154,0.01993834667466256
5.6000000000000005,-12268.293520614092,6744.551437424014,3.852566213878946,0.0199112392920616
5.7,-12796.892954588777,6269.133170446788,3.9021520366916485,0.019879219109103594
5.800000000000001,-13307.44207241773,5758.644414204314,3.950775061878452,0.019842294026289557
5.9,-13797.799454740545,5213.753945744041,3.998423292435453,0.01980047315433115
6.0,-14265.847744427303,4635.254915624213,4.045084971874737,0.019753766811902756
6.1000000000000005,-14709.500631481424,4024.06401197193,4.090748587125118,0.019702186523095477
6.2,-15126.709810050583,3381.220241646413,4.1354028713728095,0.019645745014573775
6.300000000000001,-15515.471886937694,2707.8833294006945,4.179036806841351,0.019584456212435316
6.4,-15873.835221031646,2005.3317370288655,4.221639627510076,0.01951833523877495
6.5,-16199.90667316333,1274.9603055774824,4.263200821770461,0.019447398407953533
6.6000000000000005,-16491.85824603457,518.2775247891159,4.303710135019718,0.019371663222572624
6.7,-16747.933594067814,-263.0975649730002,4.3431575721909566,0.01929114836915596
6.800000000000001,-16966.454383280616,-1067.4388319983268,4.381533400219318,0.01920587371353886
6.9,-17145.82648160185,-1892.9168663205332,4.418828150443467,0.019115860295966604
